TeamID,Packet,Altitude,Pressure,Airspeed,Temperature,Voltage,Latitude,Longitude,GPSAltitude,Satellites,GPSSpeed,Time,State

123456,85,81.67,1003.48,3.72,29.53,0.00,0.00,0.00,0.00,0,0.00,86002,1000
123456,90,82.49,1003.38,3.66,29.51,0.00,0.00,0.00,0.00,0,0.00,91001,1000
123456,91,82.26,1003.41,3.66,29.52,0.00,0.00,0.00,0.00,0,0.00,92001,1000
123456,92,81.92,1003.45,3.74,29.53,0.00,0.00,0.00,0.00,0,0.00,93000,1000
123456,93,82.31,1003.40,3.82,29.53,0.00,0.00,0.00,0.00,0,0.00,94000,1000
56,94,82.33,1003.40,0.00,29.12,0.00,0.00,0.00,0.00,0,0.00,95001,1000
123456,96,82.06,1003.43,3.82,29.51,0.00,0.00,0.00,0.00,0,0.00,97001,1000
123456,97,82.33,1003.40,3.80,29.50,0.00,0.00,0.00,0.00,0,0.00,98001,1000
123456,98,81.73,1003.47,3.72,29.51,0.00,0.00,0.00,0.00,0,0.00,99001,1000
123456,99,82.33,1003.40,0.00,29.12,0.00,0.00,0.00,0.00,0,0.00,100000,1000
123456,101,81.70,1003.47,3.58,29.53,0.00,0.00,0.00,0.00,0,0.00,102002,1000
123456,102,81.89,1003.45,3.82,29.56,0.00,0.00,0.00,0.00,0,0.00,103002,1000
123456,103,81.63,1003.48,3.66,29.57,0.00,0.00,0.00,0.00,0,0.00,104002,1000
123456,104,81.92,1003.45,3.40,29.59,0.00,0.00,0.00,0.00,0,0.00,105001,1000
123456,105,81.80,1003.46,3.58,29.58,0.00,0.00,0.00,0.00,0,0.00,106002,1000
,81.94,1003.45,3.96,29.58,0.00,0.00,0.00,0.00,0,0.00,107002,1000
123456,108,81.65,1003.48,3.80,29.62,0.00,0.00,0.00,0.00,0,0.00,109000,1000
123456,109,81.71,1003.47,3.72,29.63,0.00,0.00,0.00,0.00,0,0.00,110001,1000
123456,110,81.94,1003.45,3.96,29.64,0.00,0.00,0.00,0.00,0,0.00,111003,1000
123456,111,81.74,1003.47,3.96,29.64,0.00,0.00,0.00,0.00,0,0.00,112001,1000
123456,112,82.12,1003.42,3.82,29.67,0.00,0.00,0.00,0.00,0,0.00,113002,1000
123456,114,81.94,1003.45,3.74,29.66,0.00,0.00,0.00,0.00,0,0.00,115000,1000
123456,115,81.69,1003.48,3.72,29.67,0.00,0.00,0.00,0.00,0,0.00,116000,1000
123456,116,81.95,1003.44,3.74,29.67,0.00,0.00,0.00,0.00,0,0.00,117002,1000
123456,117,81.84,1003.46,3.66,29.70,0.00,0.00,0.00,0.00,0,0.00,118000,1000
123456,118,82.35,1003.40,3.82,29.72,0.00,0.00,0.00,0.00,0,0.00,119001,1000
123456,120,81.81,1003.46,3.66,29.74,0.00,0.00,0.00,0.00,0,0.00,121003,1000
123456,121,82.07,1003.43,3.90,29.72,0.00,0.00,0.00,0.00,0,0.00,122000,1000
123456,122,81.72,1003.47,3.88,29.71,0.00,0.00,0.00,0.00,0,0.00,123001,1000
123456,123,82.05,1003.43,3.66,29.69,0.00,0.00,0.00,0.00,0,0.00,124000,1000
123456,124,81.70,1003.47,3.66,29.70,0.00,0.00,0.00,0.00,0,0.00,125000,1000
123456,125,81.55,1003.49,4.11,29.73,0.00,0.00,0.00,0.00,0,0.00,126000,1000
123456,127,81.80,1003.46,3.90,29.75,0.00,0.00,0.00,0.00,0,0.00,128000,1000
123456,128,81.78,1003.46,3.66,29.78,0.00,0.00,0.00,0.00,0,0.00,129000,1000
123456,129,81.82,1003.46,3.82,29.77,0.00,0.00,0.00,0.00,0,0.00,130001,1000
123456,130,82.24,1003.41,3.66,29.80,0.00,0.00,0.00,0.00,0,0.00,131000,1000
123456,131,82.22,1003.41,3.66,29.82,0.00,0.00,0.00,0.00,0,0.00,132000,1000
123456,133,81.85,1003.46,3.80,29.82,0.00,0.00,0.00,0.00,0,0.00,134000,1000
123456,134,81.70,1003.47,3.74,29.82,0.00,0.00,0.00,0.00,0,0.00,135001,1000
123456,135,81.82,1003.46,3.88,29.83,0.00,0.00,0.00,0.00,0,0.00,136002,1000
123456,136,81.92,1003.45,4.03,29.84,0.00,0.00,0.00,0.00,0,0.00,137000,1000
123456,137,81.88,1003.45,3.74,29.87,0.00,0.00,0.00,0.00,0,0.00,137999,1000
123456,139,81.94,1003.45,4.02,29.91,0.00,0.00,0.00,0.00,0,0.00,140000,1000
123456,140,82.21,1003.41,3.66,29.91,0.00,0.00,0.00,0.00,0,0.00,141002,1000
123456,141,81.79,1003.46,3.80,29.90,0.00,0.00,0.00,0.00,0,0.00,142001,1000
